jobname,deptnamejve,entrypay,enddate,expfrom,expto,salary,is_monthly,experience_level,salary_level
Summer Intern (Forensic Science Division),Government Laboratory,"$11,500 per month",2026-04-27 23:59:00,0,,11500,True,Entry,Low
Training Officer I,Civil Service Bureau,"Master Pay Scale Point 28 ($64,780 per month) to Master Pay Scale Point 33 ($81,510 per month).",2026-05-08 23:59:00,4,,81510,True,Mid,High
Statistical Officer II,Census and Statistics Department,"Master Pay Scale Point 8 (HK$23,585 per month) to Master Pay Scale Point 21 (HK$47,010 per month)",2026-04-30 23:59:00,0,,47010,True,Entry,Low
Senior Artisan (Heavy Crane Driver),Marine Department,"Master Pay Scale Point 8 ($23,585 per month) to Master Pay Scale Point 10 ($26,590 per month)",2026-05-04 23:59:00,6,,26590,True,Senior,Low
Post-Secondary Student Summer Internship Programme (Applicants may also be considered under the Vacation Training Scheme funded by the Development Bureau.  Separate application is not required.),Electrical and Mechanical Services Department,"$11,500 per month",2026-05-04 23:59:00,0,,11500,True,Entry,Low
Assistant Manager (Digital Transformation),Digital Policy Office,"$35,200 per month",2026-05-04 17:00:00,2,,35200,True,Entry,Low
Content Editor/Presenter (TV News and Current Affairs Programme),Radio Television Hong Kong,"HK$42,640 per month",2026-04-29 23:59:00,3,,42640,True,Mid,Low
TV Cast Director/ Presenter,Radio Television Hong Kong,"HK$42,640 – HK$49,230 per month, depending on experience",2026-04-29 23:59:00,2,,49230,True,Entry,Low
Technical Instructor (Precast Concrete),Correctional Services Department,"Disciplined Services (Officer) Pay Scale Point 5 ($40,495) to Disciplined Services (Officer) Pay Scale Point 15 ($68,720) per month.",2026-04-30 23:59:00,10,,68720,True,Senior,High
Assistant Curator II (Conservation),Leisure and Cultural Services Department,"$27,090 per month",2026-04-30 23:59:00,0,,27090,True,Entry,Low
Land Registration Officer II,Land Registry,"Master Pay Scale Point 10 (HK$26,590 per month) to Master Pay Scale Point 27 (HK$61,865 per month)",2026-05-04 23:59:00,0,,61865,True,Entry,High
Dental Surgery Assistant,Department of Health,"Master Pay Scale Point 5 (HK$19,535 per month) to Master Pay Scale Point 17 (HK$38,715 per month).",2026-04-30 23:59:00,0,,38715,True,Entry,Low
Project Coordinator,Home Affairs Department,"$18,200 per month",2026-04-30 23:59:00,0,,18200,True,Entry,Low
Vacation Trainee (Building Surveying),Buildings Department,"HK$11,500 per month",2026-04-30 23:59:00,0,,11500,True,Entry,Low
Vacation Trainee (Structural Engineering),Buildings Department,"HK$11,500 per month",2026-04-30 23:59:00,0,,11500,True,Entry,Low
